months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,injury_claim_ratio,property_claim_ratio,vehicle_claim_ratio,net_capital,high_claim_flag
328,48,2,1,1000,1406.91,0,1,4,2,17,0,53300,0,2,2,0,3,4,1,5,1,1,1,2,1,71610,6510,13020,52080,10,1,2004,1,0.0909078214240829,0.1818156428481658,0.7272625713926631,53300,1
228,42,1,1,2000,1197.22,5000000,1,4,6,15,2,0,0,3,1,1,3,5,5,8,1,0,0,0,0,5070,780,780,3510,8,12,2007,1,0.1538158154210215,0.1538158154210215,0.6921711693945968,0,0
134,29,2,0,2000,1413.14,5000000,0,6,11,2,3,35100,0,0,1,1,3,1,1,7,3,0,2,3,0,34650,7700,3850,23100,4,30,2007,0,0.2222158090675594,0.1111079045337797,0.6666474272026781,35100,0
256,41,0,1,2000,1415.74,6000000,0,6,1,2,4,48900,-62400,2,0,0,3,2,0,5,1,0,1,2,0,63400,6340,6340,50720,3,34,2014,1,0.0999984227378117,0.0999984227378117,0.7999873819024936,-13500,0
228,44,0,2,1000,1583.91,6000000,1,0,11,2,4,66000,-46000,3,1,1,3,1,0,20,1,0,0,1,0,6500,1300,650,4550,0,31,2009,0,0.19996923550223042,0.09998461775111521,0.6998923242578065,20000,0
256,39,2,1,1000,1351.1,0,0,6,12,3,4,0,0,0,1,0,1,4,0,19,3,0,0,2,0,64100,6410,6410,51280,10,3,2003,1,0.09999843996193507,0.09999843996193507,0.7999875196954805,0,0
137,34,1,1,1000,1333.35,0,1,6,9,2,0,0,-77000,0,0,1,3,1,6,0,3,0,0,0,0,78650,21450,7150,50050,9,29,2012,0,0.2727238051645879,0.09090793505486262,0.6363555453840384,-77000,1
165,37,0,0,1000,1137.03,0,1,0,12,0,4,0,0,0,0,2,3,5,1,23,3,0,2,2,1,51590,9380,9380,32830,1,5,2015,0,0.181814657595317,0.181814657595317,0.6363513015836095,0,0
27,33,0,0,500,1442.99,0,0,6,7,9,3,0,0,2,0,2,3,6,0,21,1,0,1,1,1,27700,2770,2770,22160,12,9,2012,0,0.09999639002202086,0.09999639002202086,0.7999711201761669,0,0
212,42,0,0,500,1315.68,0,1,6,8,4,5,0,-39300,2,1,2,2,0,2,14,1,0,2,1,0,42300,4700,4700,32900,10,1,1996,0,0.11110848443299212,0.11110848443299212,0.7777593910309449,-39300,0
